,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
0,1729 ADVISORS LLP,0.0,9.0,75.0,3.0,0.0,0.0,87.0,0.0,185.14351,368.11999,4.99529,0.0,0.0,558.2588
1,2POINT2 CAPITAL ADVISORS LLP,0.0,67.0,613.0,54.0,0.0,0.0,734.0,0.0,229.14,941.27,128.95,0.0,0.0,1299.36
2,360 ONE ALTERNATES ASSET MANAGEMENT LIMITED,0.0,61.0,80.0,2.0,0.0,2.0,145.0,0.0,365.17,243.39,3.04,0.0,33.62,645.22
3,360 ONE ASSET MANAGEMENT LIMITED,0.0,406.0,5709.0,476.0,7.0,0.0,6598.0,0.0,1302.91,5013.74,418.72,24571.29,0.0,31306.66
4,360 ONE PORTFOLIO MANAGERS LIMITED,0.0,424.0,1500.0,116.0,0.0,0.0,2040.0,0.0,11183.78,20690.97,1426.35,0.0,0.0,33301.12
5,A C CHOKSI SHARE BROKERS PRIVATE LIMITED,0.0,0.0,21.0,3.0,0.0,0.0,24.0,0.0,0.0,24.37304,17.95065,0.0,0.0,42.32369
6,A. K. WEALTH MANAGEMENT PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,0.0,5.0,86.0,14.0,0.0,0.0,105.0,0.0,24.28,128.78,25.17,0.0,0.0,178.23
8,AAVISHKAAR ADVISORS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ABAKKUS ASSET MANAGER LLP,0.0,839.0,9502.0,589.0,2.0,0.0,10932.0,0.0,3504.96,12117.85,603.61,3750.34,0.0,19976.76
10,ABANS BROKING SERVICES PRIVATE LIMITED,0.0,3.0,82.0,22.0,1.0,0.0,108.0,0.0,4.96,90.88,25.82,29.91,0.0,151.57
11,ABCHLOR INVESTMENTS PRIVATE LIMITED,0.0,5.0,55.0,6.0,0.0,0.0,66.0,0.0,16.41816,183.88215,22.00847,0.0,0.0,222.30879
12,ACCELT ASSET MANAGEMENT LLP,0.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,1.15161,2.38803,0.0,0.0,0.0,3.53964
13,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED,0.0,23.0,296.0,14.0,0.0,0.0,333.0,0.0,98.07,784.33,53.57,0.0,0.0,935.97
14,ACEPRO ADVISORS PRIVATE LIMITED,0.0,2.0,67.0,2.0,0.0,0.0,71.0,0.0,1.68,121.13,1.0,0.0,0.0,123.81
15,ACHINTYA SECURITIES PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ADITYA BIRLA MONEY LIMITED,0.0,9.0,132.0,6.0,0.0,0.0,147.0,0.0,48.0024,156.39162,4.91547,0.0,0.0,209.30948
17,ADROIT FINANCIAL SERVICES PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,0.0,26.0,96.0,7.0,0.0,0.0,129.0,0.0,559.67118,2150.72458,178.6797,0.0,0.0,2889.07547
19,AFFIRMA CAPITAL INVESTMENT ADVISER INDIA PRIVATE LIMITED,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,16.07,16.06,0.0,0.0,0.0,32.13
20,AGREYA CAPITAL ADVISORS LLP,0.0,23.0,329.0,25.0,0.0,0.0,377.0,0.0,162.21,874.41,62.26,0.0,0.0,1098.88
21,ALANKIT ASSIGNMENTS LTD.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,0.0,154.0,1894.0,208.0,0.0,1.0,2257.0,0.0,1713.31,4864.3,626.33,0.0,446.63,7650.56
23,ALDER CAPITAL ADVISORS LLP,0.0,2.0,19.0,6.0,1.0,0.0,28.0,0.0,3.66342,31.79628,8.98181,39.03,0.0,83.4715
24,ALFACCURATE ADVISORS PVT. LTD.,0.0,93.0,1164.0,87.0,0.0,2.0,1346.0,0.0,397.36622,2234.22599,164.45725,0.0,142.56,2938.60946
25,ALLEGRO SECURITIES PRIVATE LIMITED,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,34.2754,0.0,0.0,0.0,34.2754
26,ALMONDZ FINANCIAL SERVICES LIMITED,0.0,1.0,6.0,0.0,0.0,0.0,7.0,0.0,0.48389,3.65616,0.0,0.0,0.0,4.14005
27,ALPHA ALTERNATIVES FUND ADVISORS LLP,0.0,31.0,50.0,1.0,0.0,0.0,82.0,0.0,222.33,437.12,3.16,0.0,0.0,662.6
28,ALPHAGREP INVESTMENT MANAGEMENT PRIVATE LIMITED,0.0,7.0,32.0,0.0,0.0,0.0,39.0,0.0,27.76136,54.73261,0.0,0.0,0.0,82.49397
29,AMALTAS ASSET MANAGEMENT LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED,0.0,136.0,1340.0,165.0,0.0,0.0,1641.0,0.0,797.36,1648.75,250.59,0.0,0.0,2696.7
31,AMBIT WEALTH PRIVATE LIMITED,0.0,66.0,288.0,28.0,0.0,0.0,382.0,0.0,578.85,574.64,86.26,0.0,0.0,1239.75
32,AMICUS INDIA CAPITAL PARTNERS LLP ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ANAND RATHI ADVISORS LIMITED,0.0,69.0,946.0,101.0,0.0,0.0,1116.0,0.0,86.071,1085.2526,95.32898,0.0,0.0,1266.65257
